name,price,rating,category,number of reviews,type,Distance from Downtown
Hôtel Clémence,US$862,8.7,Excellent,325 reviews,Double Room with Private Bathroom,4.8 km from downtown
Le Marceau Bastille,"US$1,026",8.7,Excellent,"2,236 reviews",Standard Double or Twin Room,1.6 km from downtown
Hotel Meslay Republique,US$692,8.3,Very Good,"3,233 reviews",Single Room,1.4 km from downtown
Hôtel des Pavillons,US$510,8.0,Very Good,"1,975 reviews",Single Room,5 km from downtown
Mama Shelter Paris West,US$587,8.2,Very Good,"1,843 reviews",Medium Mama Double Room,5.3 km from downtown
ibis Paris Ornano Montmartre Nord 18ème,US$435,7.6,Good,"1,377 reviews",Standard Double Room,4.5 km from downtown
Hôtel Coypel by Magna Arbor,US$691,8.0,Very Good,"2,597 reviews",Single Room,2.6 km from downtown
Alizé Grenelle Tour Eiffel,US$638,7.9,Good,907 reviews,Single Room with Shower,4.8 km from downtown
GREEN PARK HOTEL PARIS,US$722,8.9,Excellent,627 reviews,Superior Double Room,3.4 km from downtown
Timhotel Palais Royal,US$892,8.1,Very Good,"1,214 reviews",Comfort Single Room,1.4 km from downtown
Hôtel Galileo Champs Elysées,"US$1,252",8.7,Excellent,"1,277 reviews",Classic Room,4.2 km from downtown
OKKO Hotels Paris Rosa Parks,US$641,8.3,Very Good,"1,414 reviews",Classic Double Room,4.7 km from downtown
9Hotel Republique,US$888,8.9,Excellent,929 reviews,Single Room,1.7 km from downtown
25hours Hotel Terminus Nord,US$757,8.5,Very Good,"3,942 reviews",Small,2.6 km from downtown
Auberge de Jeunesse HI Paris Yves Robert,US$266,7.5,Good,"7,548 reviews",Bed in 4-Bed Male Dormitory Room,3.6 km from downtown
Hotel Phenix Paris,US$595,7.5,Good,952 reviews,Single Room with Shower,4.7 km from downtown
Hôtel Des Mines,US$833,8.3,Very Good,"1,233 reviews",Single Room,1.8 km from downtown
Hotel Maison FL,"US$1,106",8.6,Excellent,853 reviews,Classic Single Room,4.9 km from downtown
Best Western Nouvel Orléans Montparnasse,US$833,7.9,Good,"2,103 reviews",Double Room,3.3 km from downtown
Hotel Des Arenes,US$732,8.2,Very Good,"3,965 reviews",Single Room,1.3 km from downtown
Hotel Aulivia Opéra,US$739,8.1,Very Good,"1,165 reviews",Classic Double Room,1.8 km from downtown
B&B HOTEL Paris Porte de la Villette,US$424,6.7,Review score,"1,298 reviews",Double Room - Non-Smoking,5.7 km from downtown
Hôtel Clauzel Paris,US$839,7.4,Good,"3,557 reviews",Single Room,2.6 km from downtown
Platine Hotel,US$790,8.4,Very Good,922 reviews,Classic Double or Twin Room,5.1 km from downtown
L'Adresse,US$794,7.5,Good,413 reviews,Deluxe Double Room,5.4 km from downtown
Hotel Magenta 38 by Happyculture,US$803,8.5,Very Good,"2,529 reviews",Classic Single Room,1.8 km from downtown
Hôtel Mondial,US$650,7.4,Good,"2,917 reviews",Comfort Double Room - single occupancy,1.8 km from downtown
Longchamp Elysées,"US$1,077",8.3,Very Good,827 reviews,Double or Twin Room,4.9 km from downtown
Novotel Suites Paris Montreuil Vincennes,US$623,7.7,Good,"6,442 reviews",Superior Suite with Double Bed and Sofa Bed,4.7 km from downtown
Grand Hotel Dore,US$562,8.3,Very Good,"1,231 reviews",Double Room,3.9 km from downtown
Green hotels Confort Paris 13,US$787,8.0,Very Good,"1,530 reviews",Double or Twin Room,3.6 km from downtown
Hôtel des Métallos,US$604,8.0,Very Good,"1,000 reviews",Single Room,1.7 km from downtown
Novotel Paris 20 Belleville,US$742,8.2,Very Good,"3,374 reviews",Standard Double Room,2.5 km from downtown
Appia La Fayette,US$800,8.1,Very Good,433 reviews,Comfort Double or Twin Room,2.5 km from downtown
Simon's Boutique Hôtel,US$566,8.2,Very Good,"1,705 reviews",Single Room,3.8 km from downtown
Hotel Audran,US$773,8.1,Very Good,"3,053 reviews",Single Room,3.4 km from downtown
Hotel George - Astotel,US$742,8.8,Excellent,790 reviews,Standard Single Room,2.8 km from downtown
Hotel Paradis,US$856,8.5,Very Good,563 reviews,Comfort Double Room,1.9 km from downtown
Lenox Montparnasse,US$816,8.9,Excellent,"1,570 reviews",Classic Double Room,2.4 km from downtown
Korner Saint Marcel,US$615,8.0,Very Good,"2,471 reviews",Standard Single Room,2.1 km from downtown
Victoria Palace Hotel,"US$1,559",9.0,Wonderful,"2,149 reviews",Classic Double Room,2.3 km from downtown
Hôtel Baldi by Magna Arbor,US$768,8.0,Very Good,"1,990 reviews",Standard Single Room,3.5 km from downtown
Hotel Le Saint Gregoire,"US$1,525",9.0,Wonderful,509 reviews,Classic Double Room,2.1 km from downtown
Hôtel Joséphine by Happyculture,US$770,8.2,Very Good,"1,682 reviews",Single Room,3.2 km from downtown
Hotel Corona -Rodier-,US$505,7.2,Good,"1,670 reviews",Single Room,2.4 km from downtown
Exe Paris Centre,US$872,8.2,Very Good,"2,011 reviews",Standard Double or Twin Room,3 km from downtown
Oceania Paris Porte De Versailles,US$896,8.4,Very Good,"2,289 reviews",Superior Double or Twin Room,5.7 km from downtown
Hôtel de La Boétie,US$795,8.3,Very Good,500 reviews,Single Room,3.6 km from downtown
Hotel Haussmann Saint Augustin,US$913,8.6,Excellent,"1,128 reviews",Standard Single Room,3.1 km from downtown
Hôtel Gérando,US$673,8.4,Very Good,"2,910 reviews",Single Room,2.9 km from downtown
Le Clos Medicis,US$922,8.4,Very Good,900 reviews,Classic Single Room,1.2 km from downtown
Five Boutique Hotel Paris Quartier Latin,US$841,8.2,Very Good,360 reviews,Small Classic Double Room,2.1 km from downtown
Lautrec Opera,US$765,7.9,Good,"2,589 reviews",Single Room,1.9 km from downtown
Hotel Fior d'Aliza,"US$1,037",9.0,Wonderful,945 reviews,Single Room,2.4 km from downtown
Hôtel Bienvenue,US$718,7.6,Good,360 reviews,Single Room,2.3 km from downtown
Hôtel Edgar & Achille,US$944,8.1,Very Good,"1,184 reviews",Single Room,1.3 km from downtown
Hôtel Le Fabe,US$806,8.4,Very Good,"2,757 reviews",Cozy Double Room,3.7 km from downtown
WS Molitor - Auteuil,US$543,7.8,Good,199 reviews,Studio,6.7 km from downtown
B&B HOTEL Paris Porte des Lilas,US$466,7.9,Good,"14,171 reviews",Twin Room,4.9 km from downtown
Hotel Best Western Anjou Lafayette,US$911,8.4,Very Good,"1,041 reviews",Classic Queen Room,2.2 km from downtown
Hotel Vacances Bleues Provinces Opera,US$827,8.5,Very Good,"5,960 reviews",Comfort Single Room,1.7 km from downtown
Libertel Gare Du Nord Suede,US$754,8.1,Very Good,"2,242 reviews",Cozy Single Room,2.4 km from downtown
HotelF1 Paris Saint Ouen Marché Aux Puces,US$199,6.6,Review score,"18,556 reviews",Side-Car Room,5.1 km from downtown
Hotel De La Poste,US$302,6.1,Review score,"3,325 reviews",Single Room with Shared Bathroom,3.8 km from downtown
ibis Styles Paris République Le Marais,US$566,7.1,Good,"1,029 reviews",Standard Single Room,1.7 km from downtown
Hotel Hippodrome,US$382,6.8,Review score,"1,434 reviews",Single Room,3.6 km from downtown
HOTEL LOUVAIN,US$431,6.8,Review score,"2,478 reviews",Single Room with Shared Toilet,2.8 km from downtown
ibis Paris 17 Clichy-Batignolles,US$464,6.6,Review score,"6,875 reviews",Room with 2 Single Beds,4.7 km from downtown
ibis Paris Porte d'Italie,US$412,7.4,Good,"2,056 reviews",Standard Double Room,4.4 km from downtown
ibis budget Porte D'Orleans,US$409,7.4,Good,"8,273 reviews",Double Room,4.5 km from downtown
ibis Paris Montmartre Sacré-Coeur,US$541,7.6,Good,"4,111 reviews",Standard Room with 2 Single Beds,3.5 km from downtown
Hotel Celtic,US$510,6.6,Review score,"3,032 reviews",Single Room,2.5 km from downtown
Auriane Porte De Versailles,US$397,6.2,Review score,"2,151 reviews",Single Room,4.8 km from downtown
ibis budget Paris Porte De Montmartre,US$302,6.3,Review score,"15,970 reviews",Triple Room with One Double Bed and One Bunk Bed,5.1 km from downtown
Hôtel Jarry Confort,US$403,6.7,Review score,"4,031 reviews",Single Room with Shower,2 km from downtown
Grand Hotel Nouvel Opera,US$454,6.5,Review score,"1,468 reviews",Basic Double Room with Shower,2 km from downtown
Luxor Bastille Hotel,US$491,6.5,Review score,977 reviews,Single Room,1.7 km from downtown
ibis Styles Paris Cadet Lafayette,US$637,8.5,Very Good,"1,159 reviews",Standard Single Room,2.4 km from downtown
ibis Styles Paris Meteor Avenue d'Italie,US$611,8.5,Very Good,"7,845 reviews",Standard Twin Room,4.4 km from downtown
Hotel Europe BLV,US$230,5.1,Review score,"3,508 reviews",Standard Double Room with Shared Bathroom,2.4 km from downtown
ibis budget Paris Porte de Vincennes,US$336,7.2,Good,"8,110 reviews",Standard Double Room,4.8 km from downtown
ibis Paris Alesia Montparnasse,US$523,7.3,Good,"3,061 reviews",Standard Double Room,3.9 km from downtown
Hôtel Botaniste,US$718,8.6,Excellent,"1,000 reviews","Standard Double or Twin Room - ""Mélisse"" - Maison Boileau - 39 rue Boileau",6.5 km from downtown
Ibis Paris Gare Montparnasse 15ème,US$706,7.7,Good,562 reviews,Standard Double Room,2.8 km from downtown
ibis Styles Paris 15 Lecourbe,US$587,7.9,Good,754 reviews,Standard Double Room,5 km from downtown
Au Royal Mad,US$263,6.2,Review score,"3,753 reviews",Single Room with Shared Bathroom,2 km from downtown
Grand Hôtel du Havre,US$642,6.6,Review score,"1,892 reviews",Single Room,2.8 km from downtown
New Hotel Saint Lazare,US$469,6.9,Review score,"1,917 reviews",Single Room,3.2 km from downtown
Holiday Inn Paris Montmartre by IHG,US$701,8.4,Very Good,640 reviews,Standard Room,3.8 km from downtown
Hotel Excelsior,US$434,6.9,Review score,"2,323 reviews",Single Room,1.5 km from downtown
ibis Styles Paris 16 Boulogne,US$467,8.4,Very Good,"2,322 reviews",Standard Double Room,7.5 km from downtown
Printania Porte de Versailles,US$397,5.7,Review score,"1,420 reviews",Single Room,4.8 km from downtown
ibis Paris Porte de Montreuil,US$424,6.4,Review score,"3,206 reviews",Standard Double Room,4.7 km from downtown
Ibis Styles Paris Place d'Italie - Butte Aux Cailles,US$608,8.5,Very Good,"3,960 reviews",Standard Twin Room,3.2 km from downtown
Paris Hôtel Le Mediterraneen,US$856,6.9,Review score,765 reviews,Standard Single Room,2.1 km from downtown
ibis Paris Bastille Opera,US$585,8.0,Very Good,"4,447 reviews",Standard Double Room,1.6 km from downtown
Mercure Paris 19 Philharmonie La Villette,US$509,6.9,Review score,"3,179 reviews",Classic Â Double Room,4.8 km from downtown
Mercure Paris Opera Louvre,US$734,7.4,Good,275 reviews,Classic Double Room (1 Person),1.8 km from downtown
Sure Hotel by Best Western Paris Gare du Nord,US$530,7.1,Good,"1,906 reviews",Classic Single Room,3.1 km from downtown
ibis Paris Gare du Nord La Fayette,US$551,7.4,Good,"1,538 reviews",Standard Single Room,2.4 km from downtown
Victory Hotel Galou,US$510,6.7,Review score,899 reviews,Standard Double Room,1.6 km from downtown
ibis Budget Paris La Villette 19ème,US$431,7.3,Good,"15,050 reviews",Room with One Queen Bed and One Bunk Bed,3.6 km from downtown
Ibis Styles Paris Gare Saint Lazare,US$689,8.0,Very Good,"1,580 reviews",Standard Single Room,3.4 km from downtown
Hôtel de la Gaîté,US$626,6.2,Review score,"1,154 reviews",Comfort Single Room,2.8 km from downtown
Ibis Styles Paris Batignolles,US$562,8.4,Very Good,"2,434 reviews",Standard Double Room,4.3 km from downtown
Hotel Victoria,US$749,6.8,Review score,"1,542 reviews",Double or Twin Room,1.8 km from downtown
ibis Styles Paris Alesia Montparnasse,US$616,7.9,Good,823 reviews,Twin Room,3.6 km from downtown
Hotel Le Clery,US$823,8.0,Very Good,"1,359 reviews",Single Room,1.5 km from downtown
Mercure Paris Gare de l'Est,US$691,7.7,Good,"1,153 reviews",Classic Single Room,2.2 km from downtown
Hôtel des Andelys,US$367,3.9,Review score,"1,189 reviews",Budget Double Room,2 km from downtown
ibis Styles Paris Maine Montparnasse,US$461,7.7,Good,718 reviews,Standard Single Room,3.5 km from downtown
Hôtel Média,US$429,6.3,Review score,"2,124 reviews",Single Room with Private Bathroom,2.2 km from downtown
Ibis Paris Tour Eiffel Cambronne 15ème,US$625,7.9,Good,"9,951 reviews",Standard Single Room,3.8 km from downtown
Peace & Love Hostel,US$186,6.0,Review score,"3,561 reviews",Single Bed in Male Dormitory Room,3.2 km from downtown
R. Kipling by Happyculture,US$774,8.0,Very Good,"1,405 reviews",Single Room,3.2 km from downtown
Ibis Styles Paris Gare de l'Est Magenta,US$589,7.7,Good,"1,140 reviews",Standard Single Room,2.1 km from downtown
LAFAYETTE HOTEL,US$485,6.5,Review score,772 reviews,Double Room,2.9 km from downtown
Les Artistes,"US$1,006",8.9,Excellent,"1,230 reviews",Simone Room,2.6 km from downtown
St Christopher's Inn Paris - Gare du Nord,US$225,7.3,Good,"11,989 reviews",Bed in 10-Bed Dormitory Room with Shared Bathroom,2.6 km from downtown
WS Opéra - Milan,US$531,8.3,Very Good,182 reviews,Studio,3 km from downtown
Hotel 34B - Astotel,US$793,8.8,Excellent,"2,898 reviews",Single Room,1.9 km from downtown
Paris Rooms & Dreams Hotel,US$340,7.6,Good,"1,144 reviews",Single Room with Private Bathroom,3.6 km from downtown
Avalon Cosy Hotel Paris,US$736,8.1,Very Good,"1,420 reviews",Comfort Double Room,2.7 km from downtown
Hotel Little Regina,US$669,8.2,Very Good,"3,728 reviews",Double Room,2.2 km from downtown
WS Louvre - Casanova,US$941,8.3,Very Good,491 reviews,Studio,2 km from downtown
ibis Paris Père Lachaise,US$630,8.3,Very Good,610 reviews,Standard Double Room,2.6 km from downtown
Hôtel Roi René,US$459,5.5,Review score,886 reviews,Single Room,4.1 km from downtown
voco Paris Montparnasse by IHG,"US$1,108",8.3,Very Good,"2,914 reviews",Standard Queen Room with Balcony,2.9 km from downtown
Mercure Paris Vaugirard Porte De Versailles,US$865,8.2,Very Good,"2,247 reviews",Classic Double Room,5.3 km from downtown
ibis Styles Paris Tolbiac Bibliotheque,US$657,8.4,Very Good,"1,888 reviews",Standard Single Room,3.5 km from downtown
Hotel Des Arts,US$283,4.7,Review score,"1,157 reviews",Single Room with Shared Bathroom,2.4 km from downtown
Maison Orphée,"US$1,149",8.3,Very Good,960 reviews,Standard Double Room,2.5 km from downtown
Leonardo Boutique Hotel Paris Opera,US$964,8.5,Very Good,"3,219 reviews",Cozy Room,1.8 km from downtown
"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel",US$712,8.1,Very Good,"2,242 reviews",Standard Single Room,3.4 km from downtown
Novotel Paris 14 Porte d'Orléans,US$731,8.3,Very Good,"4,470 reviews",Superior Queen Room,4.5 km from downtown
Mercure Paris Gare Montparnasse TGV,US$871,7.7,Good,"5,142 reviews",Classic Double Room,3.2 km from downtown
Aparthotel Adagio Access Paris Reuilly,US$659,8.0,Very Good,"2,224 reviews",Studio (2 Adults),2.6 km from downtown
Le Glam's Hotel,US$535,8.6,Excellent,639 reviews,Single Room,4 km from downtown
Maison Albar - Le Diamond,"US$1,644",8.5,Very Good,"1,170 reviews",Superior King Room,2.9 km from downtown
Porte de Versailles Hotel,US$523,8.3,Very Good,"1,219 reviews",Double Room,5.6 km from downtown
Hôtel Petit Saint-Honoré,US$587,7.0,Good,"1,961 reviews",Standard Room,3.2 km from downtown
Arc Elysées,US$938,8.9,Excellent,201 reviews,Single Room,3.9 km from downtown
Hôtel Royal de France Paris 10,US$690,2.7,Review score,25 reviews,Double Room,1.9 km from downtown
Hotel Korner Eiffel,US$576,7.5,Good,804 reviews,Single Room,4.7 km from downtown
Hôtel Beige,"US$1,389",8.9,Excellent,807 reviews,Standard Double Room,2.3 km from downtown
Mercure Paris Pigalle Sacre Coeur,US$665,8.2,Very Good,"1,126 reviews",Classic Single Room with Double Bed,3.1 km from downtown
Mercure Paris Opéra Faubourg Montmartre,US$773,7.9,Good,667 reviews,Classic Double Room,1.9 km from downtown
Hotel Nation Montmartre,US$503,7.2,Good,"1,440 reviews",Standard Single Room,3.1 km from downtown
Hôtel Le Lavoisier & Spa,"US$1,412",8.8,Excellent,303 reviews,Standard Double Room,3 km from downtown
Le Petit Cosy Hôtel,US$675,8.4,Very Good,"1,425 reviews",Single Room,4 km from downtown
Hôtel de France Gare de Lyon Bastille,US$906,8.6,Excellent,"4,477 reviews",Comfort Double Room,1.8 km from downtown
Jeff Hotel,US$490,6.9,Review score,"1,642 reviews",Single Room,2 km from downtown
Hotel de l'Aqueduc,US$543,7.5,Good,"4,002 reviews",Single Room,2.9 km from downtown
MEININGER Hotel Paris Porte de Vincennes,US$626,8.2,Very Good,"8,118 reviews",Double Room for Single Use,4.7 km from downtown
Hotel Acadia - Astotel,US$787,9.0,Wonderful,738 reviews,Standard  Double Room,1.9 km from downtown
Mercure Paris Gare De Lyon Opera Bastille,US$689,7.8,Good,"1,258 reviews",Classic Single Room,1.9 km from downtown
Les Jardins Du Marais,"US$1,157",8.6,Excellent,"4,618 reviews",Classic Room,1.3 km from downtown
Hôtel A La Villa des Artistes,US$935,8.6,Excellent,"1,546 reviews",Classic Double Room,2.2 km from downtown
ibis Paris Italie Tolbiac,US$612,7.9,Good,"2,407 reviews",Standard Double Room,3.4 km from downtown
Hotel Joke - Astotel,US$720,9.0,Wonderful,"1,543 reviews",Standard Single Room,3.2 km from downtown
Hotel Viator - Gare de Lyon,US$576,8.1,Very Good,"2,825 reviews",Single Room,1.9 km from downtown
Arcadie Montparnasse,US$772,8.2,Very Good,"2,519 reviews",Comfort Double Room,2.9 km from downtown
Castex Hotel,US$824,7.6,Good,"1,153 reviews",Single Room,1.2 km from downtown
Hôtel Caron le Marais,"US$1,277",8.4,Very Good,768 reviews,Double Room with Shower,0.8 km from downtown
Novotel Paris Porte Versailles,US$897,8.4,Very Good,"6,225 reviews",Classic King Room,5.2 km from downtown
Hôtel Volney Opéra,US$856,8.3,Very Good,"2,169 reviews",Standard Single Room,2.1 km from downtown
Chateaudun Opéra,US$686,8.1,Very Good,"1,175 reviews",Single Room,2.4 km from downtown
Grand Pigalle Experimental,"US$1,040",8.9,Excellent,363 reviews,"Standard Room ""Sopi""",2.9 km from downtown
TRIBE Paris Batignolles,US$689,8.4,Very Good,"1,740 reviews",Comfort Double Room - Street Side,4.5 km from downtown
Hôtel Tingis,US$505,6.2,Review score,686 reviews,Small Single Room,4.7 km from downtown
Dièse Hôtel Bastille,US$638,7.8,Good,"1,722 reviews",Single Room,2.6 km from downtown
The People - Paris Marais,US$311,8.2,Very Good,"10,520 reviews",Bed in 8-Bed Mixed Dormitory Room,1.1 km from downtown
Aparthotel Adagio Porte de Versailles,US$631,7.8,Good,"4,313 reviews",Studio (2 Adults),5.9 km from downtown
Hôtel Opera Lafayette,US$618,7.9,Good,"2,276 reviews",Classic Single Room,2.2 km from downtown
Hotel Minerve,US$857,8.5,Very Good,"3,715 reviews",Small Single Room,1 km from downtown
Maison Cassandre,US$893,9.1,Wonderful,345 reviews,Superior Double Room,3.6 km from downtown
Hotel Ekta Champs Elysées,"US$1,110",8.9,Excellent,926 reviews,Classic Double Room,4.2 km from downtown
Hôtel Royal Opéra,US$909,7.4,Good,"1,147 reviews",Standard Single Room,2.6 km from downtown
Hotel Rochechouart - Orso Hotels,"US$1,007",8.3,Very Good,"1,740 reviews",Classic Double Room,2.9 km from downtown
